数据库：年度数据
时间：最近10年
指标,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
年底总人口(万人),140005.00,139538.00,139008.00,138271.00,137462.00,136782.00,136072.00,135404.00,134735.00,134091.00
男性人口(万人),71527.00,71351.00,71137.00,70815.00,70414.00,70079.00,69728.00,69395.00,69068.00,68748.46
女性人口(万人),68478.00,68187.00,67871.00,67456.00,67048.00,66703.00,66344.00,66009.00,65667.00,65342.54
城镇人口(万人),84843.00,83136.74,81347.48,79298.42,77116.18,74915.50,73111.49,71181.88,69078.63,66978.45
乡村人口(万人),55162.00,56401.26,57660.52,58972.58,60345.82,61866.50,62960.51,64222.12,65656.37,67112.55
数据来源：国家统计局
